,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,hardship_flag,disbursement_method,debt_settlement_flag,label
0,25000,15950,15400.0,60,13.23,364.8,3.0,19.0,11.0,1,108000.0,1,5.0,3.0,2.88,0.0,4.0,18.0,0.0,304,0.3,52.0,0.0,0.0,16973.3974705164,16388.11,15950.0,1023.4,0.0,0.0,0.0,15152.25,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,20000,16975,16812.953603846854,36,10.99,555.68,4.0,21.0,1.0,0,60000.0,0,5.0,0.0,17.52,0.0,0.0,12.0,0.0,21070,32.4,25.0,0.0,0.0,20005.122381757,19812.96,16975.0,3030.12,0.0,0.0,0.0,595.98,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,25000,25000,25000.0,36,13.99,854.32,3.0,16.0,11.0,0,70000.0,1,3.0,0.0,27.19,0.0,0.0,24.0,0.0,29991,82.6,33.0,0.0,0.0,11023.55,11023.55,4690.98,2003.57,0.0,4329.0,779.22,854.32,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
3,22750,16775,16675.0,36,14.46,577.09,2.0,13.0,1.0,0,52000.0,1,5.0,13.0,19.52,0.0,2.0,7.0,1.0,21888,81.9,18.0,0.0,0.0,20477.4108120555,20355.34,16775.0,3702.41,0.0,0.0,0.0,5474.39,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
4,12000,12000,11900.0,36,9.99,387.15,4.0,22.0,1.0,0,73000.0,2,5.0,0.0,28.65,1.0,0.0,17.0,0.0,13489,56.0,24.0,0.0,0.0,13900.953005981699,13785.11,12000.0,1900.95,0.0,0.0,0.0,1913.73,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
5,6400,2200,100.0,36,14.5,75.73,1.0,8.0,1.0,0,50844.0,0,2.0,0.0,7.27,0.0,0.0,7.0,0.0,6417,71.3,10.0,0.0,0.0,2726.1139077929,123.92,2200.0,526.11,0.0,0.0,0.0,75.94,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,20000,14775,14775.0,36,13.99,504.91,3.0,19.0,2.0,1,149311.0,1,5.0,0.0,8.38,0.0,3.0,12.0,0.0,9284,52.2,34.0,0.0,0.0,17741.2659294689,17741.27,14775.0,2966.27,0.0,0.0,0.0,6144.21,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7,16000,12950,10900.0,60,16.32,317.13,2.0,10.0,9.0,1,96000.0,2,5.0,2.0,3.69,0.0,0.0,10.0,1.0,14526,53.8,20.0,0.0,0.0,14777.501365356797,12438.21,12950.0,1827.5,0.0,0.0,0.0,10.88,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
8,16925,16925,16925.0,36,13.99,578.38,3.0,17.0,4.0,1,65000.0,1,5.0,2.0,24.0,0.0,0.0,16.0,0.0,25506,63.8,38.0,0.0,0.0,17853.489947976002,17853.49,16925.0,928.49,0.0,0.0,0.0,179.23,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
9,1500,1500,1500.0,36,12.99,50.54,3.0,18.0,5.0,2,65000.0,2,5.0,13.0,27.64,0.0,0.0,10.0,2.0,5864,73.3,25.0,0.0,0.0,1809.5857632342002,1809.59,1500.0,309.59,0.0,0.0,0.0,437.98,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
10,35000,24400,24375.0,36,15.23,848.59,3.0,15.0,4.0,0,65500.0,1,5.0,2.0,17.15,0.0,1.0,8.0,0.0,35430,84.6,18.0,0.0,0.0,30332.5583344848,30301.48,24400.0,5932.56,0.0,0.0,0.0,5783.14,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11,19600,14225,14200.0,60,10.59,306.39,4.0,23.0,4.0,1,39996.0,1,5.0,4.0,20.73,0.0,0.0,9.0,0.0,1749,8.2,21.0,0.0,0.0,18313.5799783254,18281.39,14225.0,4088.58,0.0,0.0,0.0,2381.3,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
12,12000,10075,9800.0,36,7.49,313.35,5.0,26.0,5.0,1,155000.0,2,5.0,0.0,4.7,0.0,0.0,19.0,0.0,81961,17.1,37.0,0.0,0.0,11280.5548982979,10972.65,10075.0,1205.55,0.0,0.0,0.0,339.73,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
13,36000,36000,36000.0,36,11.98,1195.38,4.0,20.0,5.0,0,88000.0,2,3.0,5.0,14.67,0.0,0.0,10.0,1.0,456,3.8,14.0,0.0,0.0,4757.56,4757.56,3394.33,1363.23,0.0,0.0,0.0,1195.38,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,0,1
14,5250,5250,5250.0,36,11.53,173.2,4.0,20.0,11.0,0,70000.0,2,5.0,0.0,25.3,0.0,0.0,12.0,0.0,23365,89.2,27.0,0.0,0.0,6117.669608784599,6117.67,5250.0,867.67,0.0,0.0,0.0,2131.13,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
15,13750,6500,1200.0,36,10.83,212.28,4.0,22.0,8.0,1,40872.0,0,5.0,0.0,24.43,0.0,1.0,16.0,0.0,28473,26.6,45.0,0.0,0.0,7395.0084786147,1365.23,6500.0,895.01,0.0,0.0,0.0,3364.82,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
16,12900,12900,12900.0,36,8.9,409.62,5.0,25.0,4.0,1,47750.0,1,5.0,0.0,30.26,0.0,0.0,20.0,0.0,17814,39.4,29.0,0.0,0.0,14141.4809123748,14141.48,12900.0,1241.48,0.0,0.0,0.0,8000.42,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
