id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,11000,11000,11000.0, 36 months,7.24,340.86,A,A3,Teacher,4 years,RENT,50000.0,Source Verified,Feb-2017,Current,n,,,debt_consolidation,Debt consolidation,802xx,CO,11.31,0.0,Aug-2003,0.0,,79.0,13.0,1.0,9506,56.6,34.0,w,3934.19,3934.19,8176.22,8176.22,7065.81,1110.41,0.0,0.0,0.0,Feb-2019,340.86,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,18617.0,0.0,8.0,0.0,0.0,59.0,9111.0,57.0,0.0,0.0,4776.0,57.0,16800.0,0.0,0.0,0.0,0.0,1551.0,3994.0,70.4,0.0,0.0,159.0,162.0,33.0,33.0,0.0,33.0,,,,0.0,2.0,2.0,2.0,6.0,21.0,5.0,13.0,2.0,13.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,32877.0,18617.0,13500.0,16077.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,29400,29400,29400.0, 60 months,9.93,623.66,B,B2,Director of Nursing ,2 years,MORTGAGE,97145.33,Not Verified,May-2017,Current,n,,,medical,Medical expenses,891xx,NV,31.18,0.0,Jun-2006,0.0,,,10.0,0.0,5487,42.2,28.0,w,20715.15,20715.15,12992.37,12992.37,8684.85,4307.52,0.0,0.0,0.0,Feb-2019,623.66,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,311375.0,1.0,6.0,1.0,2.0,6.0,92048.0,56.0,0.0,1.0,5178.0,55.0,13000.0,2.0,1.0,3.0,4.0,31138.0,6513.0,45.7,0.0,0.0,130.0,131.0,21.0,6.0,2.0,21.0,,6.0,,0.0,2.0,2.0,2.0,3.0,22.0,3.0,4.0,2.0,10.0,0.0,0.0,0.0,1.0,96.3,0.0,0.0,0.0,380769.0,97535.0,12000.0,144835.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,14900,14900,14900.0, 36 months,15.41,519.52,D,D1,Customer Service,7 years,RENT,35500.0,Not Verified,Nov-2015,Charged Off,n,,,credit_card,Credit card refinancing,906xx,CA,26.28,0.0,Jun-2004,0.0,,,16.0,0.0,20659,79.2,20.0,f,0.0,0.0,8235.78,8235.78,4998.42,2204.7,0.0,1032.66,185.8787999975,Jan-2017,519.52,,Jun-2017,0.0,,1,Individual,,,,0.0,0.0,20659.0,,,,,,,,,,,,26100.0,,,,1.0,1291.0,0.0,100.2,0.0,0.0,,137.0,24.0,24.0,0.0,32.0,,19.0,,0.0,10.0,16.0,10.0,11.0,0.0,16.0,20.0,16.0,16.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,26100.0,20659.0,12600.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,15000.0, 36 months,12.99,505.34,C,C2,paralegal,3 years,RENT,61000.0,Not Verified,Feb-2016,Fully Paid,n,,,debt_consolidation,Debt consolidation,191xx,PA,5.02,0.0,Jun-2002,1.0,,,6.0,0.0,11213,44.1,17.0,w,0.0,0.0,17955.6586480741,17955.66,15000.0,2955.66,0.0,0.0,0.0,Sep-2018,735.92,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,11213.0,0.0,0.0,0.0,0.0,66.0,0.0,,0.0,1.0,5274.0,44.0,25400.0,0.0,4.0,1.0,1.0,1869.0,11558.0,49.1,0.0,0.0,163.0,112.0,14.0,14.0,0.0,14.0,,4.0,,0.0,3.0,4.0,4.0,6.0,6.0,6.0,11.0,4.0,6.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,25400.0,11213.0,22700.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 60 months,21.49,327.96,D,D5,Nurse,9 years,MORTGAGE,55000.0,Verified,Jun-2016,Fully Paid,n,,,home_improvement,Home improvement,666xx,KS,11.54,0.0,Jul-2003,1.0,57.0,14.0,5.0,2.0,1101,26.9,14.0,w,0.0,0.0,16549.8881176998,16549.89,12000.0,4549.89,0.0,0.0,0.0,Sep-2018,2662.26,,Feb-2019,0.0,57.0,1,Individual,,,,0.0,538.0,59293.0,0.0,1.0,0.0,0.0,58.0,1630.0,6.0,1.0,2.0,0.0,9.0,4100.0,0.0,1.0,3.0,2.0,11859.0,,,0.0,0.0,155.0,93.0,12.0,12.0,3.0,,,1.0,,2.0,0.0,2.0,0.0,1.0,5.0,3.0,6.0,2.0,5.0,0.0,0.0,0.0,1.0,78.6,,0.0,0.0,93618.0,2731.0,0.0,27537.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000.0, 36 months,6.71,307.45,A,A3,Machining Supervisor,7 years,MORTGAGE,52000.0,Not Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,749xx,OK,24.6,0.0,Jul-1994,2.0,,,8.0,0.0,5405,35.8,11.0,w,7154.46,7154.46,3374.49,3374.49,2845.54,528.95,0.0,0.0,0.0,Feb-2019,307.45,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,57065.0,0.0,2.0,1.0,1.0,12.0,51660.0,43.0,2.0,2.0,3838.0,37.0,15100.0,1.0,2.0,5.0,3.0,7133.0,2431.0,63.2,0.0,0.0,284.0,180.0,11.0,11.0,0.0,11.0,,3.0,,0.0,2.0,4.0,2.0,2.0,4.0,6.0,7.0,4.0,8.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,83150.0,57065.0,6600.0,68050.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 36 months,19.53,443.1,D,D5,Production Manager,3 years,RENT,55000.0,Verified,Apr-2016,Charged Off,n,,,debt_consolidation,Debt consolidation,441xx,OH,22.37,0.0,Dec-2000,1.0,60.0,,12.0,0.0,10433,100.3,34.0,f,0.0,0.0,6275.01,6275.01,3855.49,2419.52,0.0,0.0,0.0,Jun-2017,443.1,,Jan-2019,0.0,60.0,1,Individual,,,,0.0,0.0,34557.0,0.0,3.0,2.0,3.0,11.0,24124.0,67.0,0.0,4.0,2561.0,74.0,10400.0,2.0,0.0,2.0,7.0,3142.0,0.0,103.1,0.0,0.0,116.0,184.0,19.0,11.0,0.0,19.0,,0.0,,1.0,5.0,8.0,6.0,14.0,17.0,9.0,17.0,8.0,12.0,0.0,0.0,0.0,2.0,97.1,100.0,0.0,0.0,46441.0,34557.0,7300.0,36041.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,13975,13975,13975.0, 36 months,5.32,420.86,A,A1,Fabrication Manager ,4 years,MORTGAGE,60000.0,Not Verified,Jun-2017,Fully Paid,n,,,home_improvement,Home improvement,113xx,NY,7.36,0.0,Feb-2005,1.0,,,5.0,0.0,5010,14.8,10.0,w,0.0,0.0,14513.235965608701,14513.24,13975.0,538.24,0.0,0.0,0.0,Mar-2018,11150.49,,Jan-2019,0.0,,1,Individual,,,,0.0,0.0,10122.0,0.0,1.0,0.0,2.0,16.0,5112.0,64.0,0.0,1.0,4095.0,24.0,33900.0,0.0,0.0,3.0,3.0,2024.0,28890.0,14.8,0.0,0.0,74.0,148.0,22.0,16.0,0.0,22.0,,2.0,,0.0,3.0,3.0,4.0,6.0,3.0,4.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,41900.0,10122.0,33900.0,8000.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000.0, 60 months,10.47,214.8,B,B2,Taxi / Dispatch/Drivers Manager,10+ years,RENT,65000.0,Not Verified,Nov-2018,Current,n,,,other,Other,053xx,VT,21.86,0.0,Nov-2006,0.0,65.0,,13.0,0.0,8292,20.1,19.0,w,9614.0,9614.0,629.86,629.86,386.0,243.86,0.0,0.0,0.0,Feb-2019,214.8,Mar-2019,Feb-2019,0.0,65.0,1,Individual,,,,0.0,0.0,42072.0,0.0,4.0,1.0,2.0,8.0,33780.0,66.0,2.0,3.0,2365.0,46.0,41300.0,0.0,1.0,8.0,5.0,3236.0,26710.0,23.7,0.0,0.0,143.0,132.0,10.0,8.0,0.0,10.0,65.0,8.0,65.0,1.0,6.0,7.0,6.0,9.0,6.0,9.0,13.0,7.0,13.0,0.0,0.0,0.0,3.0,94.7,0.0,0.0,0.0,92307.0,42072.0,35000.0,51007.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,18000,18000,18000.0, 36 months,7.69,561.49,A,A4,Engineer,6 years,OWN,52000.0,Source Verified,Oct-2014,Fully Paid,n,,,credit_card,Credit card refinancing,787xx,TX,14.02,0.0,Aug-2000,0.0,53.0,,8.0,0.0,13069,40.6,20.0,w,0.0,0.0,19868.02,19868.02,18000.0,1868.02,0.0,0.0,0.0,Aug-2016,8092.11,,Oct-2016,0.0,53.0,1,Individual,,,,0.0,0.0,22689.0,,,,,,,,,,,,32200.0,,,,7.0,2836.0,10026.0,54.4,0.0,0.0,145.0,170.0,13.0,13.0,0.0,13.0,53.0,2.0,53.0,5.0,4.0,5.0,4.0,11.0,4.0,7.0,15.0,6.0,8.0,0.0,0.0,0.0,0.0,73.7,0.0,0.0,0.0,48829.0,22689.0,22000.0,16629.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
