id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,18000,10000,10000.0, 36 months,12.99,336.9,C,C2,Manager,6 years,RENT,60000.0,Source Verified,Jun-2016,Current,n,,,small_business,Business,980xx,WA,20.45,0.0,Nov-2008,1.0,,,9.0,0.0,15537,43.4,12.0,w,603.76,603.76,11323.58,11323.58,9396.24,1927.34,0.0,0.0,0.0,Feb-2019,336.9,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,155.0,28657.0,1.0,1.0,0.0,0.0,28.0,12376.0,62.0,1.0,1.0,4705.0,51.0,35800.0,0.0,1.0,2.0,1.0,3184.0,19046.0,39.7,0.0,0.0,74.0,90.0,4.0,4.0,0.0,43.0,,4.0,,0.0,4.0,5.0,5.0,6.0,2.0,7.0,9.0,5.0,9.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,56761.0,28657.0,31600.0,20045.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,10000,10000.0, 36 months,7.39,310.56,A,A4,manager ,10+ years,MORTGAGE,55000.0,Verified,Jun-2016,Current,n,,,debt_consolidation,Debt consolidation,114xx,NY,20.77,0.0,Jul-1996,0.0,58.0,,10.0,0.0,16751,61.4,37.0,w,1223.55,1223.55,9933.81,9933.81,8776.45,1157.36,0.0,0.0,0.0,Feb-2019,310.56,Mar-2019,Feb-2019,0.0,58.0,1,Joint App,110000.0,16.17,Not Verified,0.0,0.0,53218.0,0.0,1.0,1.0,1.0,12.0,1699.0,52.0,1.0,2.0,7589.0,60.0,27300.0,0.0,1.0,1.0,3.0,6652.0,4263.0,69.5,0.0,0.0,112.0,237.0,10.0,10.0,6.0,10.0,,12.0,,1.0,2.0,3.0,5.0,18.0,2.0,8.0,28.0,3.0,10.0,0.0,0.0,0.0,2.0,97.3,66.7,0.0,0.0,190551.0,18450.0,14000.0,3251.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,10000,10000.0, 60 months,11.47,219.78,B,B5,Fuel Manager,10+ years,MORTGAGE,50000.0,Verified,Jun-2016,Current,n,,,debt_consolidation,Debt consolidation,667xx,KS,28.13,0.0,Aug-2000,0.0,,,6.0,0.0,15590,95.0,15.0,w,5376.5,5376.5,7026.59,7026.59,4623.5,2403.09,0.0,0.0,0.0,Feb-2019,219.78,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,54279.0,0.0,2.0,0.0,1.0,14.0,38689.0,83.0,1.0,1.0,3726.0,95.0,16350.0,0.0,0.0,0.0,2.0,9046.0,3217.0,94.0,0.0,0.0,188.0,127.0,11.0,11.0,0.0,11.0,,14.0,,0.0,3.0,4.0,3.0,3.0,8.0,4.0,7.0,4.0,6.0,,0.0,0.0,1.0,100.0,100.0,0.0,0.0,62990.0,54279.0,9650.0,46640.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,3400,3400.0, 36 months,15.88,119.34,C,C4,Citigroup,10+ years,OWN,41000.0,Verified,Sep-2013,Fully Paid,n,,,other,Family Member Help and Small Vacation,212xx,MD,26.25,1.0,Oct-1977,0.0,8.0,34.0,8.0,1.0,1071,8.3,31.0,f,0.0,0.0,3643.29,3643.29,3400.0,243.29,0.0,0.0,0.0,Mar-2014,2165.93,,Feb-2019,0.0,35.0,1,Individual,,,,0.0,56.0,23995.0,,,,,,,,,,,,12957.0,,,,3.0,3999.0,10388.0,9.3,0.0,0.0,104.0,437.0,56.0,4.0,2.0,116.0,,7.0,35.0,4.0,2.0,3.0,3.0,7.0,13.0,6.0,15.0,3.0,8.0,0.0,0.0,0.0,2.0,80.0,0.0,0.0,0.0,39407.0,23995.0,11457.0,26450.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,2875,2850,2850.0, 36 months,18.85,104.26,D,D3,Black Oak casino,2 years,RENT,21000.0,Not Verified,Sep-2013,Fully Paid,n,,,debt_consolidation,Debt consolidation,953xx,CA,3.77,0.0,Jul-2008,0.0,,,2.0,0.0,1856,71.4,3.0,f,0.0,0.0,3181.1453633455,3181.15,2850.0,331.15,0.0,0.0,0.0,May-2014,2451.59,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,1856.0,,,,,,,,,,,,2600.0,,,,2.0,928.0,744.0,71.4,0.0,0.0,,62.0,15.0,15.0,0.0,15.0,,21.0,,0.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,2600.0,1856.0,2600.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,33425,33325,33275.0, 60 months,19.72,877.73,D,D5,Dunbar Armored,8 years,MORTGAGE,75000.0,Verified,Jun-2013,Fully Paid,n,,  Borrower added on 06/01/13 > Consolidate to have only one payment and one due date a little or home improement<br>,debt_consolidation,Debt consolidation,173xx,PA,24.74,0.0,Mar-2001,0.0,,,25.0,0.0,26136,59.5,31.0,f,0.0,0.0,52663.274542042804,52584.26,33325.0,19338.27,0.0,0.0,0.0,Jun-2018,877.2,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,167326.0,,,,,,,,,,,,43900.0,,,,7.0,6972.0,2739.0,82.8,0.0,0.0,149.0,83.0,7.0,7.0,2.0,26.0,,7.0,,0.0,3.0,16.0,3.0,6.0,4.0,22.0,25.0,16.0,25.0,0.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,208401.0,55097.0,15900.0,44501.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,32000,31900,31875.0, 60 months,24.7,930.71,G,G1,US Postal Service,10+ years,OWN,76000.0,Verified,Jun-2013,Fully Paid,n,,"  Borrower added on 05/22/13 > This loan will be to pay off all of my credit cards and have one set note instead of several payments a month that never seem to diminish the balances. The remainder will be used to pay a few other bills off (medical bills, etc.) plus a vacation this summer. Thank You For This Opportunity!<br>",credit_card,Credit card refinancing,714xx,LA,21.9,0.0,Oct-1982,1.0,,,15.0,0.0,19642,77.9,28.0,f,0.0,0.0,33855.9598523921,33829.43,31900.0,1955.96,0.0,0.0,0.0,Sep-2013,32002.1,,Mar-2017,0.0,,1,Individual,,,,0.0,0.0,39424.0,,,,,,,,,,,,25200.0,,,,8.0,3033.0,13.0,99.3,0.0,0.0,166.0,372.0,18.0,5.0,0.0,238.0,,2.0,,0.0,1.0,7.0,1.0,7.0,9.0,9.0,19.0,7.0,15.0,0.0,0.0,0.0,6.0,100.0,100.0,0.0,0.0,49022.0,39424.0,2000.0,23822.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,24975,24975.0, 60 months,23.83,716.02,F,F5,U.S Army Materiel Command,10+ years,MORTGAGE,114000.0,Source Verified,Jun-2013,Fully Paid,n,,  Borrower added on 05/21/13 > Debt  consolidation<br>,debt_consolidation,Debt consolidation,356xx,AL,20.21,0.0,Oct-1989,2.0,30.0,,14.0,0.0,21842,87.4,46.0,f,0.0,0.0,26453.0049054903,26453.0,24975.0,1478.0,0.0,0.0,0.0,Sep-2013,25026.06,,Jul-2018,0.0,,1,Individual,,,,0.0,0.0,75168.0,,,,,,,,,,,,25000.0,,,,6.0,6264.0,376.0,95.9,0.0,0.0,179.0,287.0,5.0,5.0,5.0,69.0,30.0,1.0,30.0,0.0,3.0,9.0,3.0,7.0,16.0,11.0,25.0,9.0,14.0,0.0,0.0,0.0,2.0,87.0,100.0,0.0,0.0,89136.0,75168.0,9100.0,64136.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,27500,27475,27475.0, 60 months,23.83,787.7,F,F5,Internal Revenue Service,10+ years,RENT,110000.0,Source Verified,Jun-2013,Fully Paid,n,,  Borrower added on 05/19/13 > Pay off medical bills and credit cards and loans.<br>,debt_consolidation,DEBT CONSOL & MEDICAL BILLS,194xx,PA,13.94,0.0,Feb-2001,1.0,,,11.0,0.0,24102,81.7,13.0,f,0.0,0.0,38023.0899915589,38023.09,27475.0,10548.09,0.0,0.0,0.0,Mar-2015,22270.62,,Apr-2015,0.0,,1,Individual,,,,0.0,0.0,37542.0,,,,,,,,,,,,29500.0,,,,4.0,3754.0,284.0,92.9,0.0,0.0,52.0,149.0,5.0,5.0,0.0,43.0,,6.0,,0.0,2.0,6.0,3.0,3.0,4.0,8.0,9.0,6.0,11.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,58625.0,37542.0,4000.0,29125.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,16150,16075.0, 60 months,8.9,334.47,A,A5,Sean F Mullins DDS Inc,7 years,MORTGAGE,180000.0,Source Verified,Mar-2013,Fully Paid,n,,,home_improvement,Pool Loan,953xx,CA,19.29,0.0,Oct-1996,2.0,,,21.0,0.0,26408,37.0,39.0,f,0.0,0.0,19396.349980858202,19306.27,16150.0,3246.35,0.0,0.0,0.0,Mar-2016,7689.9,,Mar-2016,0.0,,1,Individual,,,,0.0,0.0,253344.0,,,,,,,,,,,,110400.0,,,,1.0,12667.0,80892.0,38.7,0.0,0.0,138.0,199.0,14.0,14.0,1.0,14.0,,1.0,,0.0,6.0,6.0,7.0,11.0,24.0,10.0,14.0,6.0,21.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,444110.0,253344.0,107300.0,333710.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
